round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Second,Fabrice Santoro,6-4 6-1 6-4,2006,m,Fabrice Santoro,Andrei Pavel,FRA,ROU,59%,65%,8,4,2,3,69%,56%,0.46,0.38,,,,,,,0.64,0.23,0.52,0.41,102,81,42,33,18,30,68%,52%
Second,Julien Benneteau,6-4 7-6(3) 6-1,2006,m,Julien Benneteau,Guillermo Garcia-Lopez,FRA,ESP,75%,55%,8,4,4,6,78%,70%,0.6,0.56,,,,,,,0.25,0,0.39,0.29,108,88,23,25,27,55,73%,47%
Second,Marcos Baghdatis,6-4 6-3 3-6 0-6 7-5,2006,m,Marcos Baghdatis,Radek Stepanek,CYP,CZE,51%,57%,6,11,6,4,72%,67%,0.57,0.54,213,213,186,183,152,152,0.42,0.55,0.39,0.35,141,137,43,48,46,60,47%,59%
First,Florian Mayer,6-4 6-1 4-6 6-4,2006,m,Florian Mayer,Hyung-Taik Lee,GER,KOR,50%,63%,10,2,3,4,78%,51%,0.43,0.52,199,194,181,173,143,143,0.64,0.71,0.49,0.39,120,100,45,29,44,47,74%,50%
First,Dominik Hrbaty,3-6 4-6 6-2 6-1 6-3,2006,m,Dominik Hrbaty,Oliver Marach,SVK,AUT,58%,48%,7,12,8,9,70%,67%,0.55,0.37,,,,,,,0.43,0.67,0.49,0.36,153,126,41,37,48,66,77%,59%
First,Nathan Healey,6-2 6-3 ret.,2006,m,Nathan Healey,Filippo Volandri,AUS,ITA,55%,67%,3,1,4,3,78%,52%,0.68,0.33,,,,,,,0.42,0.5,0.54,0.26,70,44,15,14,11,29,71%,48%
First,Boris Pashanski,6-3 6-4 4-6 7-6(2),2006,m,Boris Pashanski,Wayne Arthurs,SRB,AUS,67%,47%,6,29,0,9,74%,79%,0.68,0.49,,,,,,,0.33,0.2,0.37,0.28,137,119,54,56,20,33,82%,52%
First,Janko Tipsarevic,1-6 6-4 4-6 6-2 6-4,2006,m,Janko Tipsarevic,Andreas Seppi,SRB,ITA,53%,48%,9,9,3,5,68%,71%,0.51,0.46,,,,,,,0.5,0.5,0.42,0.40,142,134,36,48,38,68,60%,76%
First,Amer Delic,7-5 6-7(3) 6-3 3-6 6-3,2006,m,Amer Delic,Potito Starace,BIH,ITA,61%,75%,14,6,8,5,71%,65%,0.54,0.61,,,,,,,0.33,0.25,0.36,0.36,173,168,79,50,67,34,66%,58%
First,Fernando Verdasco,7-6(5) 6-4 6-4,2006,m,Fernando Verdasco,Kenneth Carlsen,ESP,DEN,63%,56%,3,7,6,5,84%,76%,0.54,0.47,222,213,180,193,149,149,0.13,0,0.37,0.27,116,101,33,32,30,43,67%,83%
First,Roger Federer,6-2 6-3 6-2,2006,m,Roger Federer,Denis Istomin,SUI,UZB,69%,64%,2,8,0,3,83%,58%,0.57,0.37,202,207,176,191,152,152,0.55,0.33,0.49,0.25,91,59,20,15,19,39,81%,57%
First,Kristof Vliegen,6-3 6-1 6-4,2006,m,Kristof Vliegen,Christophe Rochus,BEL,BEL,66%,57%,17,1,3,2,79%,54%,0.47,0.5,,,,,,,0.75,0.2,0.48,0.32,91,62,45,13,26,26,52%,56%
First,Juan Carlos Ferrero,7-5 6-0 6-2,2006,m,Juan Carlos Ferrero,Tomas Zib,ESP,CZE,57%,63%,8,3,0,3,73%,54%,0.67,0.37,185,197,170,175,141,141,0.67,0.67,0.53,0.30,91,59,31,12,24,28,67%,53%
First,Raemon Sluiter,6-4 2-6 6-2 6-4,2006,m,Raemon Sluiter,Pavel Snobel,NED,CZE,57%,46%,7,5,5,7,78%,64%,0.61,0.58,,,,,,,0.38,0.75,0.39,0.29,114,102,29,24,53,55,74%,45%
First,Paul Goldstein,6-2 1-6 6-3 6-2,2006,m,Paul Goldstein,Novak Djokovic,USA,SRB,62%,62%,2,6,7,9,71%,62%,0.45,0.42,,,,,,,0.32,0.23,0.46,0.39,123,107,25,48,21,68,61%,66%
